Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.0153214,-4.817415054",river/lake,1000,840,1976,enough,1602302216WP48_568,good,gravity,unknown,annually,Government of Tanzania,Government,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.01777455,-4.81686044",river/lake,1000,219,1999,enough,1602302216WP50_570,good,gravity,unknown,annually,FPCT Church,DWE,private operator,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.01745497,-4.817667341",river/lake,4000,250,1987,enough,1602302216WP51_571,good,gravity,unknown,annually,Anglican Church,DWE,private operator,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.01609322,-4.818412617",river/lake,1000,570,1999,enough,1602302216WP53_573,good,gravity,unknown,annually,Government of Tanzania,Government,private operator,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.02096251,-4.823691156",river/lake,1000,650,1984,enough,1602302216WP35_555,good,gravity,unknown,annually,NORAD,NORAD,water board,none
functional,Kigoma,Buhigwe,Rusaba,"29.78370239,-4.627929561",rainwater harvesting,0,203,2008,enough,1602302221WP03,good,other,unknown,never pay,Government of Tanzania,DWE,vwc,none
functional,Kigoma,Buhigwe,Rusaba,"29.79271148,-4.618842554",rainwater harvesting,50,4500,2010,enough,1602302221WP02,good,other,unknown,per bucket,Government of Tanzania,Government,vwc,none
functional,Kigoma,Buhigwe,Rusaba,"29.83246791,-4.652351555",river/lake,250,580,2000,enough,1602302221WP33_691,good,gravity,unknown,monthly,OXFAM,OXFAM,water board,none
functional,Kigoma,Buhigwe,Rusaba,"29.82479097,-4.657638088",river/lake,250,521,2000,enough,1602302221WP16,good,gravity,unknown,monthly,OXFAM,OXFAM,water board,none
functional,Kigoma,Buhigwe,Rusaba,"29.82966235,-4.656689067",river/lake,250,250,2000,enough,1602302221WP20_678,good,gravity,unknown,monthly,OXFAM,OXFAM,water board,none
functional,Kigoma,Buhigwe,Rusaba,"29.83106015,-4.657970292",river/lake,520,370,2000,enough,1602302221WP21_679,good,gravity,unknown,monthly,OXFAM,OXFAM,water board,none
functional,Kigoma,Buhigwe,Rusaba,"29.83093279,-4.660736008",river/lake,250,540,2000,enough,1602302221WP22_680,good,gravity,unknown,monthly,OXFAM,OXFAM,water board,none
functional,Kigoma,Buhigwe,Rusaba,"29.82900533,-4.655553758",river/lake,250,380,2000,enough,1602302221WP23_681,good,gravity,unknown,monthly,OXFAM,OXFAM,water board,none
functional,Kigoma,Buhigwe,Rusaba,"29.82960246,-4.6546845",river/lake,750,370,2009,enough,1602302221WP25_683,good,gravity,unknown,monthly,Anglican Church,Anglican Church,water board,none
functional,Kigoma,Buhigwe,Rusaba,"29.82970254,-4.655303125",river/lake,750,680,2010,enough,1602302221WP26_684,good,gravity,unknown,monthly,RC Church,RC Church,other,none
functional,Kigoma,Buhigwe,Rusaba,"29.83114088,-4.655401333",river/lake,250,650,2000,enough,1602302221WP27_685,good,gravity,unknown,monthly,OXFAM,OXFAM,water board,none
functional,Kigoma,Buhigwe,Rusaba,"29.83291816,-4.655971867",river/lake,250,520,2000,enough,1602302221WP28_686,good,gravity,unknown,monthly,OXFAM,OXFAM,water board,none
functional,Kigoma,Buhigwe,Rusaba,"29.82616336,-4.652975767",river/lake,250,390,2000,enough,1602302221WP29_687,good,gravity,unknown,monthly,OXFAM,OXFAM,water board,none
functional,Kigoma,Buhigwe,Rusaba,"29.83002832,-4.653619453",river/lake,750,270,2010,enough,1602302221WP31_689,good,gravity,unknown,monthly,FPCT Church,FPCT Church,water board,none
